,名称,階数,家賃,管理費,間取り,面積,URL
213,コーポ谷村,2階,2.4万円,-,1K,21.9m2,https://suumo.jp/chintai/jnc_000072607979/?bc=100273453477
214,コーポ谷村,1階,2.4万円,-,1K,21.9m2,https://suumo.jp/chintai/jnc_000036922161/?bc=100110481240
215,ＪＲ仙山線 山形駅 2階建 築40年,1階,1.5万円,-,1K,23.1m2,https://suumo.jp/chintai/jnc_000037571750/?bc=100284624561
216,ハイツ千代田,2階,1.9万円,-,1K,20.6m2,https://suumo.jp/chintai/jnc_000074246369/?bc=100282459295
217,森谷ドリームハイツI,2階,1.9万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000057781763/?bc=100196517849
218,ＪＲ仙山線 山形駅 2階建 築37年,2階,1.9万円,-,1K,18.9m2,https://suumo.jp/chintai/jnc_000070346806/?bc=100277776783
219,相沢アパート,2階,1.9万円,-,1K,17m2,https://suumo.jp/chintai/jnc_000047913782/?bc=100150585711
220,ハウス東原Ａ,1階,2万円,-,1K,22m2,https://suumo.jp/chintai/jnc_000075810534/?bc=100275349300
221,マルナカハイツ,2階,2万円,-,1K,22m2,https://suumo.jp/chintai/jnc_000046385293/?bc=100278762138
222,コーポＡ,2階,2万円,-,1DK,20m2,https://suumo.jp/chintai/jnc_000058452683/?bc=100172436900
223,ＪＲ仙山線 山形駅 2階建 築27年,2階,2万円,-,1DK,19.8m2,https://suumo.jp/chintai/jnc_000071004376/?bc=100289365428
224,ＪＲ仙山線 山形駅 2階建 築36年,1階,2万円,-,1K,18.9m2,https://suumo.jp/chintai/jnc_000073629117/?bc=100288783509
225,アパートメントハウス末広町,1階,2万円,-,1K,17m2,https://suumo.jp/chintai/jnc_000074748718/?bc=100284979259
226,水井アパート,3階,1.8万円,2000円,1K,15m2,https://suumo.jp/chintai/jnc_000046495223/?bc=100193382064
227,ＪＲ仙山線 北山形駅 2階建 築35年,2階,2.1万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000073370577/?bc=100290989765
228,サンコーポグリーン,2階,2.2万円,-,1K,26.08m2,https://suumo.jp/chintai/jnc_000073525924/?bc=100278577664
229,レジデンス泉II,4階,2.2万円,-,1K,19.64m2,https://suumo.jp/chintai/jnc_000067561318/?bc=100246120563
230,レジデンス泉II,2階,2.3万円,-,1K,22.48m2,https://suumo.jp/chintai/jnc_000067561313/?bc=100246120577
231,レジデンス泉II,4階,2.3万円,-,1K,21.46m2,https://suumo.jp/chintai/jnc_000067561319/?bc=100246120580
232,レジデンス泉II,2階,2.3万円,-,1K,21.46m2,https://suumo.jp/chintai/jnc_000067561314/?bc=100246120574
233,レジデンス泉II,3階,2.4万円,-,1K,22.48m2,https://suumo.jp/chintai/jnc_000067561315/?bc=100246120554
234,レジデンス泉II,3階,2.4万円,-,1K,22.48m2,https://suumo.jp/chintai/jnc_000073732673/?bc=100279794032
235,レジデンス泉II,3階,2.4万円,-,1K,22.48m2,https://suumo.jp/chintai/jnc_000073732674/?bc=100279794034
236,レジデンス泉II,3階,2.4万円,-,1K,21.46m2,https://suumo.jp/chintai/jnc_000067561316/?bc=100246120590
237,グリーンパルコ青田,1階,2.2万円,-,1K,19.81m2,https://suumo.jp/chintai/jnc_000072321693/?bc=100212845908
238,グリーンパルコ青田,2階,2.3万円,-,1K,19.81m2,https://suumo.jp/chintai/jnc_000072321694/?bc=100187458150
239,コア417,2階,2万円,2000円,1K,18m2,https://suumo.jp/chintai/jnc_000045809609/?bc=100218989662
240,コア417,3階,2.1万円,2000円,1K,18m2,https://suumo.jp/chintai/jnc_000067130154/?bc=100243649619
241,TMコーポラス,2階,2万円,2000円,1K,17.35m2,https://suumo.jp/chintai/jnc_000052726683/?bc=100179653542
242,ホワイトコーポ小白川,2階,2.3万円,-,1K,25.39m2,https://suumo.jp/chintai/jnc_000072955793/?bc=100275349307
243,Bコーポ,1階,2.3万円,-,1DK,25m2,https://suumo.jp/chintai/jnc_000072196022/?bc=100248731329
244,Bコーポ,1階,2.3万円,-,1DK,25m2,https://suumo.jp/chintai/jnc_000072196021/?bc=100271328907
245,シャンコーポＢ棟,1階,2.3万円,-,1K,23.14m2,https://suumo.jp/chintai/jnc_000072758057/?bc=100274268781
246,シャンコーポＢ棟,1階,2.3万円,-,1K,23.14m2,https://suumo.jp/chintai/jnc_000063273934/?bc=100276996530
247,ピエロット七日町,1階,2.1万円,2000円,1K,23m2,https://suumo.jp/chintai/jnc_000063577870/?bc=100225146689
248,シティハウス水井,3階,2.3万円,-,1DK,22m2,https://suumo.jp/chintai/jnc_000074962031/?bc=100277321540
249,シティハウス水井,3階,2.3万円,-,1DK,22m2,https://suumo.jp/chintai/jnc_000074962032/?bc=100277321538
250,リバーハイツ,1階,2.2万円,1000円,1K,21.32m2,https://suumo.jp/chintai/jnc_000076169828/?bc=100293308395
251,グリーンヒルズ,2階,2万円,3000円,1K,21m2,https://suumo.jp/chintai/jnc_000071723152/?bc=100268899421
252,グリーンヒルズ,2階,2万円,3000円,1K,21m2,https://suumo.jp/chintai/jnc_000070049344/?bc=100145364172
253,Wing Court,1階,2.1万円,2000円,1K,20m2,https://suumo.jp/chintai/jnc_000064429938/?bc=100282361149
254,Wing Court,4階,2.1万円,2000円,1K,20m2,https://suumo.jp/chintai/jnc_000075152654/?bc=100287267561
255,ブリーズ武蔵野・I,1階,2.3万円,-,1K,19.87m2,https://suumo.jp/chintai/jnc_000031576704/?bc=100238370356
256,ブリーズ武蔵野・I,2階,2.3万円,-,1K,19.87m2,https://suumo.jp/chintai/jnc_000013025783/?bc=100281426300
257,トータスメゾン,4階,2万円,3000円,1K,18.9m2,https://suumo.jp/chintai/jnc_000068703663/?bc=100213744713
258,トータスメゾン,2階,2.1万円,3000円,1K,18.9m2,https://suumo.jp/chintai/jnc_000074573885/?bc=100281236455
259,エクレール泉　酒田市東泉町1丁目,2階,2.4万円,-,2K,29.75m2,https://suumo.jp/chintai/jnc_000074685241/?bc=100283078297
260,ＪＲ米坂線 南米沢駅 2階建 築38年,2階,2.1万円,3000円,1K,23.18m2,https://suumo.jp/chintai/jnc_000075650086/?bc=100289713261
261,ホームズ香澄,1階,1.4万円,-,1K,17.28m2,https://suumo.jp/chintai/jnc_000053467297/?bc=100284778292
262,ロッジ青葉,2階,1.6万円,1000円,1K,19.8m2,https://suumo.jp/chintai/jnc_000051149422/?bc=100095919158
263,第一朋友ハイツ,2階,1.7万円,-,1K,17.01m2,https://suumo.jp/chintai/jnc_000041539938/?bc=100292150093
264,第一朋友ハイツ,2階,2.5万円,-,1K,17.01m2,https://suumo.jp/chintai/jnc_000058565511/?bc=100292150090
265,アークベース桜木町II,2階,1.6万円,1500円,1K,21m2,https://suumo.jp/chintai/jnc_000031014644/?bc=100206805913
266,コーポサンシャイン,2階,1.6万円,1500円,1K,20m2,https://suumo.jp/chintai/jnc_000075871501/?bc=100291460232
267,ＪＲ東北本線 仙台駅 2階建 築32年,1階,1.8万円,-,1K,22.77m2,https://suumo.jp/chintai/jnc_000073324410/?bc=100277486979
268,ハイツヤヨイ,2階,1.8万円,-,1K,20.61m2,https://suumo.jp/chintai/jnc_000051232487/?bc=100283247096
269,ハイツヤヨイ,1階,1.9万円,-,1K,22.68m2,https://suumo.jp/chintai/jnc_000076157523/?bc=100283247054
270,ハイツヤヨイ,1階,2万円,-,1K,22.37m2,https://suumo.jp/chintai/jnc_000051232484/?bc=100283247132
271,ハウスブルースカイ,2階,1.6万円,2000円,1K,21.87m2,https://suumo.jp/chintai/jnc_000072237518/?bc=100291507453
272,倉持ハイツ,2階,1.8万円,-,1K,19.85m2,https://suumo.jp/chintai/jnc_000073578468/?bc=100283381273
273,ドミトリー青葉,2階,1.8万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000030834469/?bc=100095919122
274,ベルグコーポ２号棟,2階,1.8万円,-,1K,17.82m2,https://suumo.jp/chintai/jnc_000067672466/?bc=100286181958
275,仙台市地下鉄東西線 八木山動物公園駅 2階建 築42年,2階,1.55万円,2500円,1K,17.25m2,https://suumo.jp/chintai/jnc_000074997233/?bc=100293355013
276,水の森ヒルズ,2階,1.6万円,2000円,1K,17.2m2,https://suumo.jp/chintai/jnc_000055626244/?bc=100284783906
277,仙台市地下鉄南北線 旭ヶ丘駅 2階建 築34年,2階,1.6万円,2000円,1K,17m2,https://suumo.jp/chintai/jnc_000057282749/?bc=100189519080
278,アップルハウス八木山弥生町,1階,1.8万円,-,1K,16.35m2,https://suumo.jp/chintai/jnc_000072048166/?bc=100283344288
279,アップルハウス八木山弥生町,1階,1.8万円,-,1K,16m2,https://suumo.jp/chintai/jnc_000072048167/?bc=100258034263
280,アップルハウス八木山弥生町,2階,1.8万円,-,1K,16m2,https://suumo.jp/chintai/jnc_000072048168/?bc=100230338002
281,アップルハウス八木山弥生町,2階,1.8万円,-,1K,16m2,https://suumo.jp/chintai/jnc_000074357704/?bc=100283117022
282,ホワイトファミール子平町,1階,1.7万円,2000円,1K,24m2,https://suumo.jp/chintai/jnc_000075786583/?bc=100290975594
283,ホワイトファミール子平町,2階,2.6万円,2000円,1K,27.7m2,https://suumo.jp/chintai/jnc_000021239941/?bc=100289541234
284,ホワイトファミール子平町,2階,2.6万円,2000円,1K,23.77m2,https://suumo.jp/chintai/jnc_000037052978/?bc=100289706229
285,ホワイトファミール子平町,1階,2.6万円,2000円,1K,23.77m2,https://suumo.jp/chintai/jnc_000075733872/?bc=100290628517
286,シャトレーＩ青山,2階,1.9万円,-,1K,23.18m2,https://suumo.jp/chintai/jnc_000060886898/?bc=100272783978
287,コーポ大和,1階,1.9万円,-,1K,22.68m2,https://suumo.jp/chintai/jnc_000073099998/?bc=100283194101
288,コーポ大和,1階,1.9万円,-,1K,21m2,https://suumo.jp/chintai/jnc_000073099997/?bc=100283194999
289,メイ・トランス,1階,1.9万円,-,1K,21.8m2,https://suumo.jp/chintai/jnc_000070799315/?bc=100264450271
290,メイ・トランス,2階,2万円,-,1K,21.8m2,https://suumo.jp/chintai/jnc_000056322840/?bc=100246331529
291,メゾン山の寺,2階,1.8万円,1000円,1K,19.5m2,https://suumo.jp/chintai/jnc_000073795891/?bc=100228649355
292,メゾン双葉ケ丘,2階,1.9万円,-,1K,17.9m2,https://suumo.jp/chintai/jnc_000013003113/?bc=100265786941
293,小松島深松荘,2階,1.9万円,-,1K,17.39m2,https://suumo.jp/chintai/jnc_000071763054/?bc=100284882296
294,小松島深松荘,2階,1.9万円,-,1K,17.39m2,https://suumo.jp/chintai/jnc_000072934260/?bc=100274358363
295,小松島深松荘,2階,1.9万円,-,1K,17.39m2,https://suumo.jp/chintai/jnc_000075541857/?bc=100177044844
296,ＪＲ仙山線 東照宮駅 2階建 築39年,2階,1.9万円,-,1K,17.39m2,https://suumo.jp/chintai/jnc_000075909558/?bc=100291325639
297,エスポワール南光台,1階,1.9万円,-,1K,17m2,https://suumo.jp/chintai/jnc_000076040375/?bc=100292518382
298,ロフティ中山IV,2階,1.7万円,2000円,1K,17m2,https://suumo.jp/chintai/jnc_000070888481/?bc=000083538052
299,市営バス 八木山神社前 2階建 築33年,1階,2万円,-,1K,24.84m2,https://suumo.jp/chintai/jnc_000049149069/?bc=100155932494
300,市営バス 八木山神社前 2階建 築33年,2階,2.2万円,-,1K,24.84m2,https://suumo.jp/chintai/jnc_000068448398/?bc=100155933214
301,グロリアス青葉,2階,1.8万円,2000円,1K,23.1m2,https://suumo.jp/chintai/jnc_000042966134/?bc=100131375649
302,向山サンヒルズ,1階,2万円,-,1K,22.36m2,https://suumo.jp/chintai/jnc_000075273067/?bc=100292222583
303,向山サンヒルズ,1階,2万円,-,1K,22.35m2,https://suumo.jp/chintai/jnc_000061763799/?bc=100288000339
304,向山サンヒルズ,2階,2.5万円,-,1K,22.45m2,https://suumo.jp/chintai/jnc_000039349719/?bc=100238401014
305,向山サンヒルズ,2階,2.5万円,-,1K,21.45m2,https://suumo.jp/chintai/jnc_000023110022/?bc=100264821364
306,向山サンヒルズ,2階,2.5万円,-,1K,20m2,https://suumo.jp/chintai/jnc_000023110021/?bc=100235895296
307,仙台市地下鉄東西線 大町西公園駅 2階建 築32年,1階,2万円,-,1K,22.35m2,https://suumo.jp/chintai/jnc_000075761872/?bc=100290808902
308,仙台市地下鉄東西線 大町西公園駅 2階建 築32年,1階,2万円,-,1K,22.35m2,https://suumo.jp/chintai/jnc_000075761871/?bc=100290809190
309,仙台市地下鉄東西線 大町西公園駅 2階建 築32年,2階,2.5万円,-,1K,21.45m2,https://suumo.jp/chintai/jnc_000039349720/?bc=100284295234
310,仙台市地下鉄東西線 大町西公園駅 2階建 築32年,2階,2.5万円,-,1K,21.45m2,https://suumo.jp/chintai/jnc_000038972662/?bc=100284295237
311,仙台市地下鉄東西線 大町西公園駅 2階建 築32年,2階,2.5万円,-,1K,20m2,https://suumo.jp/chintai/jnc_000023280488/?bc=100244091394
312,エクセル青葉,2階,2万円,-,1K,22.25m2,https://suumo.jp/chintai/jnc_000030834460/?bc=100095919117
313,パレス伏拝,4階,1.15万円,-,1K,18.18m2,https://suumo.jp/chintai/jnc_000074632984/?bc=100279874406
314,パレス伏拝,3階,1.15万円,-,1K,18.18m2,https://suumo.jp/chintai/jnc_000074622108/?bc=100264712629
315,S福島県伊達郡川俣町寺久保112-1　共同住宅,2階,1.26万円,-,2DK,25m2,https://suumo.jp/chintai/jnc_000068975096/?bc=100254125548
316,紅葉ハイツ,1階,1.8万円,-,2K,31.4m2,https://suumo.jp/chintai/jnc_000075232511/?bc=100156718208
317,ＪＲ東北本線 安積永盛駅 2階建 築37年,1階,1.7万円,2000円,1K,21.53m2,https://suumo.jp/chintai/jnc_000076007457/?bc=100281227092
318,林城タウンハウスＤ棟,2階,1.8万円,2000円,1K,21.48m2,https://suumo.jp/chintai/jnc_000072692435/?bc=100273893846
319,林城タウンハウスＤ棟,2階,2.5万円,2000円,2DK,38.84m2,https://suumo.jp/chintai/jnc_000052669274/?bc=100260024297
320,パレス安竜,1階,2万円,-,2K,33.05m2,https://suumo.jp/chintai/jnc_000074774652/?bc=100285093422
321,成松アパート,2階,2万円,-,2K,28.92m2,https://suumo.jp/chintai/jnc_000074780477/?bc=100285142362
322,成松アパート,3階,2.5万円,-,2K,28.92m2,https://suumo.jp/chintai/jnc_000074651886/?bc=100284618412
323,ネオクラウスD,1階,1.8万円,2000円,1K,26m2,https://suumo.jp/chintai/jnc_000074804514/?bc=100225528081
324,ＪＲ東北本線 安積永盛駅 2階建 築41年,1階,1.8万円,2000円,1K,23.19m2,https://suumo.jp/chintai/jnc_000075293949/?bc=100242547967
325,ＪＲ東北本線 安積永盛駅 2階建 築45年,2階,2万円,-,1K,23.19m2,https://suumo.jp/chintai/jnc_000057645102/?bc=100045088060
326,コーポ中村,2階,1.8万円,2000円,1K,23m2,https://suumo.jp/chintai/jnc_000065028267/?bc=100232123291
327,ぷちはうす,1階,2万円,-,1K,22.4m2,https://suumo.jp/chintai/jnc_000074047466/?bc=100257169559
328,ぷちはうす,1階,2万円,-,1K,22.4m2,https://suumo.jp/chintai/jnc_000074047465/?bc=100249251598
329,ＪＲ東北本線 安積永盛駅 2階建 築37年,2階,2万円,-,1K,20m2,https://suumo.jp/chintai/jnc_000067214420/?bc=100013769327
330,ベルコリン郷ケ丘,1階,2万円,-,1K,19.83m2,https://suumo.jp/chintai/jnc_000075780317/?bc=100290924788
331,シャトーキミ,2階,1.8万円,2000円,1K,17.38m2,https://suumo.jp/chintai/jnc_000075952763/?bc=100263729654
332,ＪＲ東北本線 安積永盛駅 3階建 築41年,2階,1.8万円,2000円,1K,17.34m2,https://suumo.jp/chintai/jnc_000075644558/?bc=100290097344
333,福島県会津若松市大戸町芦牧字下タ平1126-3　美好コーポ,1階,2.2万円,-,2DK,38m2,https://suumo.jp/chintai/jnc_000073922335/?bc=100280966383
334,穂積ハイツ,2階,2万円,2000円,2K,36.36m2,https://suumo.jp/chintai/jnc_000075106030/?bc=100286945994
335,プログレス１０,2階,2.2万円,-,1K,20.25m2,https://suumo.jp/chintai/jnc_000073765201/?bc=100280029006
336,コスモハイツII,2階,2.2万円,-,1K,20.01m2,https://suumo.jp/chintai/jnc_000073781429/?bc=100280030913
337,だるまアパ－ト,2階,2.2万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000068894027/?bc=100216294491
338,だるまアパ－ト,1階,2.2万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000056080936/?bc=100255038182
339,だるまアパ－ト,1階,2.2万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000061809123/?bc=100032216098
340,カーサ伏拝,2階,2.1万円,2000円,1K,21.11m2,https://suumo.jp/chintai/jnc_000073552898/?bc=100278721465
341,ヒルズキクヨ,2階,2.2万円,1000円,1K,19.86m2,https://suumo.jp/chintai/jnc_000050673958/?bc=100156718200
342,ヒルズキクヨ,1階,2.2万円,1000円,1K,19.83m2,https://suumo.jp/chintai/jnc_000050673956/?bc=100158784432
343,ＪＲ東北本線 福島駅 7階建 築32年,4階,2万円,3000円,1K,17.27m2,https://suumo.jp/chintai/jnc_000068773156/?bc=100243872024
344,ヒルズビレッジ,2階,2.2万円,2000円,1DK,23.54m2,https://suumo.jp/chintai/jnc_000070248329/?bc=100261188530
345,パレス日出山,1階,2.4万円,-,1K,21.35m2,https://suumo.jp/chintai/jnc_000073227965/?bc=100276893717
346,パレス日出山,1階,2.4万円,-,1K,21m2,https://suumo.jp/chintai/jnc_000073096543/?bc=100206100372
347,パレス日出山,1階,2.4万円,-,1K,21m2,https://suumo.jp/chintai/jnc_000073096542/?bc=100189941395
348,パレス日出山,2階,2.8万円,-,1K,21m2,https://suumo.jp/chintai/jnc_000073096544/?bc=100272556341
349,一丁目コーポ,1階,2.2万円,2000円,1K,19.4m2,https://suumo.jp/chintai/jnc_000075674375/?bc=100284281672
350,一丁目コーポ,2階,2.3万円,2000円,1K,19.4m2,https://suumo.jp/chintai/jnc_000049875814/?bc=100159065775
351,メゾン瀬上,2階,2.3万円,1500円,1K,23.18m2,https://suumo.jp/chintai/jnc_000071281705/?bc=100266849830
352,メゾン瀬上,1階,2.3万円,1500円,1K,23.18m2,https://suumo.jp/chintai/jnc_000042588397/?bc=100266849801
353,プリンスオーロラII,1階,1.88万円,6000円,1K,23m2,https://suumo.jp/chintai/jnc_000075430441/?bc=100288787788
354,プリンスオーロラII,2階,2.3万円,6000円,1K,23m2,https://suumo.jp/chintai/jnc_000075430442/?bc=100288787700
355,プリンスオーロラII,2階,2.3万円,6000円,1K,21.6m2,https://suumo.jp/chintai/jnc_000076169830/?bc=100243411047
356,プリンスオーロラII,3階,2.3万円,6000円,1K,21.6m2,https://suumo.jp/chintai/jnc_000076169831/?bc=100277523544
357,プリンスオーロラI,1階,1.88万円,6000円,1K,23m2,https://suumo.jp/chintai/jnc_000076169829/?bc=100274645877
358,プリンスオーロラI,2階,2.3万円,5000円,1K,23m2,https://suumo.jp/chintai/jnc_000073264605/?bc=100277147617
359,石川県七尾市矢田新町12-1　月岩マンション,2階,1.2万円,-,2K,31.59m2,https://suumo.jp/chintai/jnc_000072672248/?bc=100273798436
360,石川県七尾市矢田新町12-1　月岩マンション,2階,1.2万円,-,1K,24.57m2,https://suumo.jp/chintai/jnc_000056764425/?bc=100191359204
361,アーバンハイム,2階,1万円,3200円,1DK,26m2,https://suumo.jp/chintai/jnc_000075683899/?bc=100290337555
362,ブランシェセブン,2階,1.1万円,2200円,1K,19.83m2,https://suumo.jp/chintai/jnc_000062582143/?bc=100219973023
363,コンヤハイツ,1階,1.4万円,-,1K,19.88m2,https://suumo.jp/chintai/jnc_000013842098/?bc=100103935346
364,コンヤハイツ,1階,1.4万円,-,1K,18.72m2,https://suumo.jp/chintai/jnc_000013842094/?bc=000097291996
365,コーポ寺山,2階,1.2万円,2200円,1K,19.2m2,https://suumo.jp/chintai/jnc_000075813040/?bc=100291128095
366,コーポ寺山,2階,1.2万円,2200円,1K,19.2m2,https://suumo.jp/chintai/jnc_000073223214/?bc=100054952770
367,朝日プラザ菊川,4階,1.5万円,-,1K,15m2,https://suumo.jp/chintai/jnc_000061967982/?bc=100236282910
368,朝日プラザ菊川,3階,1.7万円,-,1K,14.21m2,https://suumo.jp/chintai/jnc_000071922080/?bc=100269864632
369,朝日プラザ菊川,3階,2万円,-,1K,12.44m2,https://suumo.jp/chintai/jnc_000072439347/?bc=100272071467
370,朝日プラザ菊川,4階,3万円,-,1DK,23.98m2,https://suumo.jp/chintai/jnc_000062760911/?bc=100221096083
371,南ハイム,3階,1.3万円,2000円,1K,18.27m2,https://suumo.jp/chintai/jnc_000073431953/?bc=100288519893
372,ヒルサイド４６,2階,1.5万円,-,1K,15.68m2,https://suumo.jp/chintai/jnc_000042012439/?bc=100208640844
373,ヒルサイド４６,2階,1.3万円,3000円,1K,17.41m2,https://suumo.jp/chintai/jnc_000066892479/?bc=100198625513
374,ヒルサイド４６,2階,2万円,-,1K,17.41m2,https://suumo.jp/chintai/jnc_000013842823/?bc=100243179945
375,ヒルサイド４６,2階,2.2万円,3000円,1K,15.68m2,https://suumo.jp/chintai/jnc_000054917238/?bc=100236313860
376,ローズウェル,3階,1.5万円,-,1K,16.2m2,https://suumo.jp/chintai/jnc_000032203370/?bc=100101798153
377,タカセレジデンス,1階,1.5万円,2000円,1K,18.44m2,https://suumo.jp/chintai/jnc_000026326004/?bc=100034664417
378,プチグレイス野々市,1階,1.7万円,-,1K,17.55m2,https://suumo.jp/chintai/jnc_000072340819/?bc=100272076703
379,プチグレイス野々市,1階,1.7万円,-,1K,17.55m2,https://suumo.jp/chintai/jnc_000072340818/?bc=100272076195
380,プチグレイス野々市,1階,1.7万円,-,1K,17.55m2,https://suumo.jp/chintai/jnc_000046462180/?bc=100238637015
381,プチグレイス野々市,1階,1.7万円,-,1K,17.55m2,https://suumo.jp/chintai/jnc_000066210153/?bc=100238648311
382,プチグレイス野々市,1階,1.7万円,-,1K,17.55m2,https://suumo.jp/chintai/jnc_000038397411/?bc=100274329363
383,プチグレイス野々市,2階,1.8万円,-,1K,17.55m2,https://suumo.jp/chintai/jnc_000034110701/?bc=100107796641
384,プチグレイス野々市,2階,1.8万円,-,1K,17.55m2,https://suumo.jp/chintai/jnc_000048106230/?bc=100151502210
385,プチグレイス野々市,2階,1.8万円,-,1K,17.55m2,https://suumo.jp/chintai/jnc_000064797001/?bc=100230951527
386,プチグレイス野々市,3階,1.9万円,-,1K,17.55m2,https://suumo.jp/chintai/jnc_000072340821/?bc=100272081334
387,プチグレイス野々市,3階,1.9万円,-,1K,17.55m2,https://suumo.jp/chintai/jnc_000038378684/?bc=100272080922
388,プチグレイス野々市,3階,1.9万円,-,1K,17.55m2,https://suumo.jp/chintai/jnc_000056452558/?bc=100115110355
389,北陸鉄道石川線 野町駅 2階建 築39年,1階,1.5万円,2000円,1K,17.33m2,https://suumo.jp/chintai/jnc_000040230630/?bc=100261845368
390,コーポM,4階,1.5万円,2700円,1K,16.21m2,https://suumo.jp/chintai/jnc_000069050290/?bc=100254538000
391,北陸鉄道石川線 野町駅 2階建 築48年,2階,1.7万円,1000円,1K,23.1m2,https://suumo.jp/chintai/jnc_000064910312/?bc=100034710060
392,フォレスト宮,1階,1.5万円,3500円,1DK,22.68m2,https://suumo.jp/chintai/jnc_000057106727/?bc=100244407517
393,ハイツラピーン,2階,1.6万円,2500円,1K,21.66m2,https://suumo.jp/chintai/jnc_000062684283/?bc=100220562328
394,柏谷荘,2階,1.7万円,2000円,2K,35.04m2,https://suumo.jp/chintai/jnc_000074382670/?bc=100267440780
395,柏谷荘,2階,2万円,2000円,2K,35.04m2,https://suumo.jp/chintai/jnc_000074382669/?bc=100270200091
396,柏谷荘,1階,2.3万円,2000円,2K,35.04m2,https://suumo.jp/chintai/jnc_000074382668/?bc=100267440778
397,柏谷荘,1階,2.5万円,2000円,2K,35.04m2,https://suumo.jp/chintai/jnc_000075213794/?bc=100287622748
398,柏谷荘,1階,2.5万円,2000円,2K,35.04m2,https://suumo.jp/chintai/jnc_000072227598/?bc=100267440779
399,ビレッジハウス大聖寺1号棟,5階,1.9万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000075696698/?bc=100292555630
400,ビレッジハウス大聖寺1号棟,5階,1.9万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000075807725/?bc=100291089957
401,ビレッジハウス大聖寺1号棟,5階,2.1万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000075696699/?bc=100290407147
402,ビレッジハウス大聖寺1号棟,4階,2.2万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000073127905/?bc=100292555620
403,リバーサイド和,2階,1.7万円,2000円,1K,20.45m2,https://suumo.jp/chintai/jnc_000041358781/?bc=100256871457
404,リバーサイド和,2階,2万円,2000円,1K,27.34m2,https://suumo.jp/chintai/jnc_000016302959/?bc=100147278190
405,横山町（八十島）貸家,1階,1.9万円,-,2K,26.44m2,https://suumo.jp/chintai/jnc_000047437788/?bc=100287289723
406,栄屋PLAZA,2階,1.6万円,3000円,1K,26m2,https://suumo.jp/chintai/jnc_000065363788/?bc=100215071696
407,栄屋PLAZA,2階,1.6万円,3000円,1K,20.31m2,https://suumo.jp/chintai/jnc_000065363787/?bc=100107576767
408,栄屋PLAZA,2階,1.6万円,3000円,1K,26m2,https://suumo.jp/chintai/jnc_000065363786/?bc=100076672520
409,バス 桜町 2階建 築34年,2階,1.9万円,-,1K,20m2,https://suumo.jp/chintai/jnc_000043137198/?bc=000084377610
410,パレス緑ヶ丘,1階,1.8万円,1000円,1K,19.66m2,https://suumo.jp/chintai/jnc_000056452520/?bc=100267683439
411,パレス緑ヶ丘,1階,1.8万円,1000円,1K,19.66m2,https://suumo.jp/chintai/jnc_000069851726/?bc=100258926567
412,パレス緑ヶ丘,2階,1.9万円,1000円,1K,19.66m2,https://suumo.jp/chintai/jnc_000073752564/?bc=100258926566
413,パレス緑ヶ丘,2階,1.9万円,1000円,1K,19.66m2,https://suumo.jp/chintai/jnc_000069851727/?bc=100258926565
414,パレス緑ヶ丘,2階,2万円,1000円,1K,19.66m2,https://suumo.jp/chintai/jnc_000073477700/?bc=100280408184
415,パレス緑ヶ丘,2階,2万円,1000円,1K,19.66m2,https://suumo.jp/chintai/jnc_000059646132/?bc=100221718652
416,アリス金沢第三,1階,1.6万円,3000円,1K,18.36m2,https://suumo.jp/chintai/jnc_000055315780/?bc=100286314133
417,アリス金沢第三,2階,1.8万円,3000円,1K,18.36m2,https://suumo.jp/chintai/jnc_000073735336/?bc=100279817014
418,アリス金沢第三,2階,2.2万円,3000円,1K,19.44m2,https://suumo.jp/chintai/jnc_000039230778/?bc=100237442141
419,アルカディア３１　弐番館,2階,1.6万円,3000円,1K,19.04m2,https://suumo.jp/chintai/jnc_000075942836/?bc=100291920473
420,アルカディア３１　弐番館,2階,1.6万円,3000円,1K,19.04m2,https://suumo.jp/chintai/jnc_000063724392/?bc=100225802484
421,コーポ蘭,1階,1.9万円,-,1K,19m2,https://suumo.jp/chintai/jnc_000059433541/?bc=000050835718
422,コーポ蘭,2階,2万円,-,1K,19m2,https://suumo.jp/chintai/jnc_000064816117/?bc=100231020433
423,フォーブル鈴見,2階,1.7万円,2000円,1K,17.5m2,https://suumo.jp/chintai/jnc_000074366217/?bc=100283172996
424,フォーブル鈴見,2階,2.1万円,2000円,1K,17.5m2,https://suumo.jp/chintai/jnc_000054924591/?bc=100084582765
425,フォーブル勝木２,1階,1.7万円,2000円,1K,17.5m2,https://suumo.jp/chintai/jnc_000013842085/?bc=100251811817
426,フォーブル勝木２,2階,1.7万円,2000円,1K,17.5m2,https://suumo.jp/chintai/jnc_000053801130/?bc=100273550658
